veg_name,season_name,,,,,
Artichoke,Fall,,,,,
Arugula,Spring,,,,,
Arugula,Fall,,,,,
Arugula,Winter,,,,,
Asparagus,Spring,,,,,
Asparagus,Summer,,,,,
Basil,Summer,,,,,
Basil,Fall,,,,,
Beets,Summer,,,,,
Beets,Fall,,,,,
Beets,Winter,,,,,
Broccoli,Summer,,,,,
Broccoli,Fall,,,,,
Brussel sprouts,Fall,,,,,
Brussel sprouts,Winter,,,,,
Cabbage (early types),Summer,,,,,
Cabbage (early types),Fall,,,,,
Cabbage (late types),Fall,,,,,
Cabbage (late types),Winter,,,,,
Carrots,Summer,,,,,
Carrots,Fall,,,,,
Carrots,Winter,,,,,
Cauliflower,Summer,,,,,
Cauliflower,Fall,,,,,
Celeriac,Summer,,,,,
Celeriac,Fall,,,,,
Celery,Summer,,,,,
Celery,Fall,,,,,
Chard,Spring,,,,,
Chard,Summer,,,,,
Chard,Fall,,,,,
Chard,Winter,,,,,
Collards,Spring,,,,,
Collards,Summer,,,,,
Collards,Fall,,,,,
Collards,Winter,,,,,
Corn,Summer,,,,,
Corn,Fall,,,,,
Cucumbers,Summer,,,,,
Cucumbers,Fall,,,,,
Eggplant,Summer,,,,,
Eggplant,Fall,,,,,
Fava beans,Spring,,,,,
Fava beans,Summer,,,,,
Fennel,Spring,,,,,
Fennel,Summer,,,,,
Fennel,Fall,,,,,
Fennel,Winter,,,,,
Garlic,Summer,,,,,
Garlic,Fall,,,,,
Beans (bush or pole),Summer,,,,,
Beans (bush or pole),Fall,,,,,
Green onions,Spring,,,,,
Green onions,Summer,,,,,
Green onions,Fall,,,,,
Jerusalem artichoke,Summer,,,,,
Jerusalem artichoke,Fall,,,,,
Kale,Spring,,,,,
Kale,Summer,,,,,
Kale,Fall,,,,,
Kale,Winter,,,,,
Kohlrabi,Summer,,,,,
Kohlrabi,Fall,,,,,
Leeks,Fall,,,,,
Leeks,Winter,,,,,
Leeks,Spring,,,,,
Lettuce,Spring,,,,,
Lettuce,Summer,,,,,
Lettuce,Fall,,,,,
Melons,Summer,,,,,
Melons,Fall,,,,,
Onions,Summer,,,,,
Onions,Fall,,,,,
Oregano,Fall,,,,,
Oregano,Winter,,,,,
Oregano,Spring,,,,,
Oregano,Summer,,,,,
Parsley,Fall,,,,,
Parsley,Winter,,,,,
Parsley,Spring,,,,,
Parsley,Summer,,,,,
Parsnips,Fall,,,,,
Parsnips,Winter,,,,,
Peas,Summer,,,,,
Peppers,Summer,,,,,
Peppers,Fall,,,,,
Potatoes,Fall,,,,,
Potatoes,Winter,,,,,
Potatoes,Spring,,,,,
Potatoes,Summer,,,,,
Pumpkins,Fall,,,,,
Radicchio,Spring,,,,,
Radicchio,Summer,,,,,
Radicchio,Fall,,,,,
Radishes,Spring,,,,,
Radishes,Summer,,,,,
Radishes,Fall,,,,,
Rosemary,Spring,,,,,
Rosemary,Summer,,,,,
Rosemary,Fall,,,,,
Rosemary,Winter,,,,,
Rutabaga,Fall,,,,,
Rutabaga,Winter,,,,,
Sage,Fall,,,,,
Sage,Winter,,,,,
Sage,Spring,,,,,
Sage,Summer,,,,,
Shallots,Fall,,,,,
Shallots,Winter,,,,,
Sorrel,Spring,,,,,
Sorrel,Summer,,,,,
Sorrel,Fall,,,,,
Spinach,Spring,,,,,
Spinach,Summer,,,,,
Spinach,Fall,,,,,
Spinach,Winter,,,,,
Squash (summer),Summer,,,,,
Squash (summer),Fall,,,,,
Squash (winter),Fall,,,,,
Squash (winter),Winter,,,,,
Tomatoes,Summer,,,,,
Tomatoes,Fall,,,,,
Turnips,Summer,,,,,
Turnips,Fall,,,,,
Turnips,Winter,,,,,